Race,Latitude,Longitude,circuitId
Bahrain,26.0325,50.510556,bahrain
Australia,-37.849722,144.968333,albert_park
Malaysia,2.760556,101.7375,sepang
China,31.338889,121.219722,shanghai
Spain,41.57,2.261111,catalunya
Monaco,43.734722,7.420556,monaco
Turkey,40.951667,29.405,istanbul
Canada,45.505833,-73.526667,villeneuve
Europe,39.458889,-0.331667,valencia
Britain,52.071,-1.016,silverstone
Germany,49.327778,8.565833,hockenheimring
Hungary,47.578889,19.248611,hungaroring
Belgium,50.437222,5.971389,spa
Italy,45.620556,9.289444,monza
Singapore,1.291403,103.864147,marina_bay
Japan,34.843056,136.540556,suzuka
S. Korea,34.733333,126.416667,yeongam
Abu Dhabi,24.467222,54.603056,yas_marina
Brazil,-23.703611,-46.699722,interlagos
Indianapolis Motor Speedway,39.798333,-86.232778,indianapolis
Circuit Bremgarten,46.95,7.410833,bremgarten
Reims-Gueux,49.254075,3.930561,reims
Nürburgring,50.335556,6.9475,nurburgring
Circuit de Pedralbes,41.390278,2.116667,pedralbes
Rouen-Les-Essarts,49.330639,1.004583,essarts
Circuit Park Zandvoort,52.388819,4.540922,zandvoort
Autódromo Juan y Oscar Gálvez,-34.694272,-58.459347,galvez
Aintree,53.476944,-2.940556,aintree
Pescara Circuit,42.475,14.150833,pescara
Circuito da Boavista,41.170472,-8.67325,boavista
Ain Diab,33.578611,-7.6875,ain-diab
AVUS,52.480556,13.251389,avus
Monsanto Park Circuit,38.719722,-9.203056,monsanto
Sebring International Raceway,27.455,-81.35,sebring
Riverside International Raceway,33.933389,-117.272278,riverside
Watkins Glen,42.336944,-76.927222,watkins_glen
Prince George Circuit,-33.048611,27.873611,george
Autódromo Hermanos Rodríguez,19.406111,-99.0925,rodriguez
Brands Hatch,51.356667,0.2625,brands_hatch
Zeltweg,47.202222,14.742222,zeltweg
Charade Circuit,45.747222,3.038889,charade
Kyalami,-25.998611,28.068889,kyalami
Le Mans,47.937694,0.225611,lemans
Mosport International Raceway,44.05,-78.677778,mosport
Jarama,40.617111,-3.585583,jarama
Circuit Mont-Tremblant,46.187707,-74.609936,tremblant
Montjuïc,41.366389,2.151667,montjuic
A1-Ring,,,osterreichring
Circuit Paul Ricard,43.250556,5.791667,ricard
Nivelles-Baulers,50.621111,4.326944,nivelles
Zolder,50.988889,5.255556,zolder
Scandinavian Raceway,57.264167,13.601389,anderstorp
Dijon-Prenois,47.3625,4.899167,dijon
Long Beach,33.766389,-118.192778,long_beach
Fuji Speedway,35.371667,138.926667,fuji
Autódromo Internacional Nelson Piquet,-22.975556,-43.395,jacarepagua
Autodromo Enzo e Dino Ferrari,44.341111,11.713333,imola
Las Vegas Street Circuit,36.116944,-115.175,las_vegas
Detroit Street Circuit,42.32975,-83.040111,detroit
Fair Park,32.781944,-96.765556,dallas
Autódromo do Estoril,38.750833,-9.394167,estoril
Adelaide Street Circuit,-34.927222,138.617222,adelaide
Circuito de Jerez,36.708333,-6.034167,jerez
Phoenix street circuit,33.447917,-112.074583,phoenix
Circuit de Nevers Magny-Cours,46.863242,3.164228,magny_cours
Donington Park,52.829806,-1.379556,donington
Okayama International Circuit,34.915,134.221111,okayama
Buddh International Circuit,28.350556,77.535,buddh
Circuit of the Americas,30.132778,-97.641111,americas
Red Bull Ring,47.219722,14.764722,red_bull_ring
Sochi Autodrom,43.410278,39.968271,sochi
Baku City Circuit,40.3725,49.853333,BAK